name,artistName,release_date,popularity,duration_ms
Mukaikaze,Takuya Murayama,2009,0,254303
Data & Picard,Pogo,2016-12-30,46,185288
Curi - Curi Pandang,Naif,2014-07-03,34,192053
Cancer,My Chemical Romance,2006-10-23,73,142973
Creep,Radiohead,1993-02-22,1,238640
Good day,IU,2010-12-09,64,233586
기다리다 Gidalida,Panic,1995-10-01,0,252133
Creep,Scott Bradlee's Postmodern Jukebox,2015-04-23,61,283259
ハートに火をつけて - Album Ver.,9mm Parabellum Bullet,2013-06-21,49,239626
新しい光(サビ),9mm Parabellum Bullet,2011-05-13,17,243440
Answer And Answer,9mm Parabellum Bullet,2013-06-21,29,240893
marshmallow,IU,2009-11-12,35,194298
The night of the first breakup,IU,2010-12-09,40,266135
Lingsir Wengi,Novi Rayani,2001,31,278560
Lingsir Wengi,Didi Kempot,2016-06-10,11,282573
Lingsir Wengi,Sekar Mayat,2015-03-03,0,572133
Lingsir Wengi,Wiwid Widayati,2017-01-01,0,314368
Lingsir Wengi,Eny Galaxy,2017-01-01,0,306464
Lingsir Wengi,Reni Ananta,2006,0,278272
Nia,The Panasdalam,2014-01-09,35,229880
Partai Kucing,The Panasdalam,2014-01-09,20,193906
Oh Batman,The Panasdalam,2014-01-09,23,171106
Buaya Angkatan Darat,The Panasdalam,2014-01-09,20,154186
Ospek,The Panasdalam,2014-01-09,19,260066
Lupa Istri,The Panasdalam,2014-01-09,19,193466
Semacam Kasih Sayang,The Panasdalam,2014-01-09,38,162506
Kelamin Uber Alles,The Panasdalam,2014-01-09,21,177640
Man's Not Hot,Big Shaq,2017-09-22,0,186026
Chop Suey!,System Of A Down,2001-09-04,0,210240
Radio/Video,System Of A Down,2005-05-17,70,249226
FDB,Young Dro,2013-10-15,0,220807
Its Every Night Sis,Ricegum,2017-06-09,46,155193
Hand on My Gat,Pink Guy,2017-01-04,33,262040
Help,Pink Guy,2017-01-04,50,165040
Akad,Payung Teduh,2017-06-23,55,259564
All Neon Like,Björk,1997-09-23,0,353266
Amamizu,Masakatsu Takagi,2015-01-08,0,160000
"Utagaki, Pt. 2",Masakatsu Takagi,2015-01-08,0,274000
Hands,Four Tet,2003-03-05,28,341160
My Angel Rocks Back And Forth,Four Tet,2003-03-05,28,307333
Hi Hat,Teebs,2014-04-14,15,261566
Inakunaru,Kidkanevil,2014-05-09,0,232696
Pumped Up Kicks,Foster The People,2011-05-23,86,239600
Pon de Replay,Rihanna,2005-08-29,0,246960
Danza Kuduro,Don Omar,2010-01-01,76,198786
Stronger,Kanye West,2007-09-11,1,311866
Get Busy,Sean Paul,2002-11-12,1,211666
It's a Shame (My Sister),Monie Love,1990-10-20,0,222840
Jump Around,House Of Pain,1994-07-21,3,214946
High And Dry,Radiohead,1995-03-28,3,257480
Bullet Proof ... I Wish I Was,Radiohead,1995-03-28,0,208733
Sweet Disposition,The Temper Trap,2009-09-30,0,234360
Fall Together,The Temper Trap,2016-06-10,0,200223
Down River - Fools Gold remix,The Temper Trap,2010-11-01,0,217386
Move Bitch,Disturbing Tha Peace,2001-01-01,0,270866
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,2011-10-11,79,207333
Yeah! (feat. Lil Jon & Ludacris),USHER,2004-03-23,85,250373
Watch Me (Whip / Nae Nae),Silentó,2015-05-04,0,185131
Get Low,Lil Jon & The East Side Boyz,2002-10-29,77,334066
Still D.R.E.,Dr. Dre,1999-11-16,3,268004
더… Deo…,Panic,1995-10-01,0,337106
아무도 Amudo,Panic,1995-10-01,0,198040
Sha La La feat. Junpei Shiina,Wyolica,2010-09-29,0,284613
Boku Ha Wasurenai,Wyolica,2010-09-29,0,259560
Aitakute,Wyolica,2010-09-29,0,312253
Koi No Maboroshi,Wyolica,2010-09-29,0,291493
Trunk,Wyolica,2010-09-29,0,272453
Sayonara,Wyolica,2010-09-29,0,197026
Hohoemi No Salsa,Wyolica,2010-09-29,0,271240
Everything Is Gonna Be Alright,Wyolica,2010-09-29,0,234200
Music Rider,Wyolica,2010-09-29,0,238280
Kimi Ni Arigatou,Wyolica,2010-09-29,0,309933
Ashita He No Nocturne,Wyolica,2010-09-29,0,274986
Tsukiyo Ni Saita Koi,Wyolica,2010-09-29,0,322800
Once Upon a Time / Secret Admirer,Mocca,2002-04-20,41,240586
On the Night Like This,Mocca,2004-09-05,50,81213
Will He,Joji,2017-10-17,52,202102
Interdimensional Portal Leading to a Cute Place (with Snail's House),In Love With a Ghost,2018-01-08,37,148500
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,2017-11-03,0,214265
Pills,Joji,2017-11-03,50,187133
Bitter Fuck,Joji,2017-11-03,52,154442
Demons,Joji,2017-11-03,54,176803
Chicken Attack,The Gregory Brothers,2016-12-14,43,156176
Like A G6,Far East Movement,2010-01-01,76,216893
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,2010,70,201493
Thunder,Imagine Dragons,2017-06-23,36,187146
If I Was You (OMG),Far East Movement,2010-01-01,36,205773
三日月,ayaka,2006-11-01,61,279013
瞳をとじて,ayaka,2013-09-04,0,347533
にじいろ,ayaka,2015-04-15,60,224720
手をつなごう,ayaka,2007-07-04,43,289920
Why,ayaka,2007-07-04,35,265973
おかえり,ayaka,2007-07-04,41,285240
Cry Bird,Tennyson,2017-09-01,23,196173
You Bring Me Joy,Daif,2014-06-23,0,266428
Soon,Unseal,2014-06-23,0,98486
Emerald City,Guts,2014-06-23,0,464860
My Feelings,Mockoff,2014-06-23,0,410880
Someday,Tigerz,2014-06-23,1,346377
Jazz My Night,Rheostat,2014-06-23,0,465491
Pow Wow,Herbie Jay,2014-06-23,0,406000
Oqpo_ooqo,Alex Augier,2014-06-23,0,381626
Up,Cravach,2014-06-23,0,299125
"Anytime, Any Space",The Missing Channel,2014-06-23,0,271475
Human Bog,Baths,2017-11-17,0,263345
Nurse Them Make a Fire Feed Yourself Express Your Mirth,Masakatsu Takagi,2015-01-08,0,657000
Kiss You,Knife Girl,2017-07-21,4,141000
Lukewarm Arteries,Julien Mier,2017-11-24,0,182640
A Song About Naps,Grynpyret,2015-03-10,0,206295
Hideaway,Jacob Collier,2016-07-01,1,412613
Victoria's Veil,Cashmere Cat,2017-04-28,0,196238
New Life - Album Mix,Eiffel 65,2001-03-21,20,283167
Close To You,Jacob Collier,2014-12-15,0,330466
How I Broke My Parents Record Player,Lullatone,2017-02-21,11,210266
Yawn,Baths,2014-05-06,0,220199
This Delicate Place (Scaled Down Version),Silver Maple,2016-06-17,0,160949
The First Two Times,Jonatan Mollberg,2015-10-09,0,131807
I'm Forrest... Forrest Gump,Alan Silvestri,1994-08-02,63,159666
,,0000,0,0
,,0000,0,0
Mirror of the Heart,Lyle Mays,1986,0,304506
Empower Your Mind,February Four,2015-05-28,12,255600
New World (Cytus Version) [feat. Kamata Junko],Aioi,2013-12-10,21,153066
Evil Force,Alpha Legion,2015-09-21,9,141866
きっとまたいつか(album version),DEPAPEPE,2005,0,250040
光ノサキへ,DEPAPEPE,2004,0,175826
Wedding Bell,DEPAPEPE,2015-01-01,0,290221
Happy Shine,DEPAPEPE,2004,0,90173
パッヘルベルのカノン,DEPAPEPE,2005,0,251400
Letter from the forest,DEPAPEPE,2017-04-12,0,209613
ONE,DEPAPEPE,2005,0,269653
Girl,DEPAPEPE,2017-04-12,0,244426
Color,DEPAPEPE,2017-04-12,0,194320
Sky! Sky! Sky!,DEPAPEPE,2004,0,276840
SUNSHINE SURF!! (CW version),DEPAPEPE,2004,0,338093
Diary,DEPAPEPE,2017-04-12,0,252266
Reflection,DEPAPEPE,2017-04-12,0,230973
小鳥のキャロル,DEPAPEPE,2017-04-12,0,235093
One,DEPAPEPE,2015-01-01,0,260050
Soda,DEPAPEPE,2017-04-12,0,189533
ラハイナ (CW version),DEPAPEPE,2004,0,358160
SUMMER PARADE,DEPAPEPE,2004,0,202866
My hometown,DEPAPEPE,2017-04-12,0,236946
Start,DEPAPEPE,2015-01-01,0,260050
