danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0.476,0.161,1,-16.368,1,0.212,0.847,0.0,0.0331,0.33,96.69,5
0.943,0.406,8,-10.715,0,0.0876,0.556,0.719,0.0913,0.991,109.055,4
0.501,0.482,1,-13.489,0,0.041,0.967,0.842,0.378,0.509,96.943,4
0.525,0.381,9,-14.463,0,0.0702,0.849,0.832,0.367,0.396,80.001,4
0.698,0.303,4,-16.308,0,0.104,0.892,0.0498,0.16,0.155,105.037,4
0.377,0.584,4,-10.621,1,0.0715,0.0518,0.0119,0.0794,0.038,140.012,4
0.945,0.331,2,-10.587,1,0.12,0.722,0.907,0.118,0.983,109.043,4
0.661,0.282,0,-9.295,1,0.0776,0.232,0.892,0.0989,0.332,90.532,4
0.771,0.971,9,-0.234,1,0.0823,0.279,0.0143,0.0699,0.693,112.068,5
0.625,0.418,9,-8.714,1,0.0494,0.173,0.868,0.141,0.148,84.977,4
0.552,0.521,11,-13.258,0,0.0609,0.302,0.866,0.112,0.609,77.055,4
0.667,0.392,11,-11.555,0,0.11,0.791,0.0624,0.139,0.524,82.071,4
0.66,0.164,0,-18.224,0,0.113,0.743,0.85,0.125,0.43,77.004,4
0.711,0.307,1,-9.2,1,0.0517,0.219,0.569,0.484,0.501,91.944,4
0.511,0.325,0,-14.527,1,0.0746,0.728,0.391,0.0974,0.471,83.122,4
0.834,0.737,8,-7.508,0,0.0332,0.144,0.934,0.153,0.977,108.015,4
0.762,0.525,6,-11.863,1,0.199,0.949,0.87,0.114,0.652,82.777,4
0.576,0.283,2,-13.004,1,0.039,0.897,0.892,0.0841,0.252,119.277,4
0.628,0.278,7,-9.823,0,0.234,0.68,0.891,0.0802,0.369,176.004,4
0.425,0.21,8,-12.242,0,0.0451,0.776,0.902,0.0992,0.311,158.846,4
0.622,0.0962,3,-18.03,0,0.0373,0.913,0.753,0.108,0.269,130.16,4
0.892,0.546,11,-7.972,0,0.226,0.225,0.364,0.115,0.405,114.981,4
0.72,0.579,1,-9.36,0,0.387,0.273,0.000119,0.0926,0.668,98.181,4
0.51,0.213,6,-6.717,0,0.176,0.9,0.0487,0.0978,0.173,77.976,4
0.745,0.529,8,-12.859,1,0.0834,0.553,0.532,0.711,0.584,128.046,4
0.741,0.667,10,-5.445,1,0.134,0.0575,0.0,0.106,0.595,112.956,4
0.724,0.628,4,-4.219,1,0.0962,0.409,0.0,0.105,0.524,99.898,4
0.482,0.696,0,-4.665,0,0.0358,0.438,0.0,0.0893,0.253,155.95,4
0.728,0.426,0,-6.69,1,0.0509,0.0142,0.0,0.0546,0.844,85.908,4
0.633,0.592,0,-7.245,0,0.112,0.197,0.0,0.099,0.679,90.066,4
0.572,0.778,1,-5.208,1,0.233,0.00638,0.0,0.0563,0.54,168.073,4
0.802,0.749,3,-5.372,1,0.106,0.34,7.3e-05,0.0856,0.532,99.972,4
0.667,0.648,3,-6.398,0,0.0626,0.0235,1.52e-05,0.0427,0.589,95.031,4
0.599,0.667,7,-4.267,1,0.0367,0.0533,0.0,0.134,0.817,80.984,4
0.741,0.443,11,-10.196,1,0.0349,0.83,0.46,0.133,0.616,105.891,4
0.946,0.66,6,-7.497,0,0.148,0.0834,6.83e-05,0.0436,0.808,134.973,4
0.717,0.9,1,-2.326,1,0.0559,0.0528,0.203,0.0726,0.906,159.999,4
0.892,0.625,1,-7.278,1,0.326,0.0495,0.0,0.0677,0.549,93.95,4
0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,4
0.801,0.633,0,-6.219,1,0.0679,0.116,0.0,0.109,0.278,145.966,4
0.545,0.905,11,-5.001,0,0.0441,0.000348,0.00652,0.263,0.545,146.039,4
0.574,0.613,4,-7.433,0,0.2,0.746,4.61e-05,0.367,0.187,90.042,4
0.728,0.591,10,-9.677,0,0.263,0.0072,0.0,0.408,0.618,87.016,4
0.578,0.384,2,-18.626,0,0.96,0.736,0.0,0.363,0.194,75.087,4
0.779,0.724,7,-7.813,0,0.0748,0.243,0.0319,0.649,0.96,176.014,4
0.638,0.378,11,-9.132,1,0.0349,0.628,9.93e-06,0.184,0.379,128.034,4
0.389,0.889,9,-6.546,1,0.0442,0.0415,0.0,0.463,0.524,171.121,4
0.678,0.857,10,-5.173,0,0.216,0.0325,0.0,0.0788,0.622,94.95,4
0.854,0.71,4,-6.32,0,0.0793,0.0113,8.72e-05,0.166,0.818,106.894,4
0.641,0.63,8,-6.393,1,0.0521,0.0372,0.0,0.4,0.415,79.955,4
0.694,0.745,2,-4.411,1,0.261,0.00545,1.8e-05,0.365,0.0587,171.376,4
0.892,0.628,1,-3.832,1,0.216,0.169,0.0,0.102,0.676,92.063,4
0.919,0.493,1,-8.81,1,0.0613,0.14,1.62e-06,0.122,0.159,108.076,4
0.91,0.637,1,-8.018,1,0.0575,0.354,0.0,0.131,0.161,108.024,4
